dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,stlb_demand_mpki,stlb_demand_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,401.bzip2,3,1.4992141132045229,0.0028366666666666666,0.00052309640000000005,0.0028366666666666666,0.00052309640000000005,2.6302533333333331e-05,1.1955700000000001e-06,0.00049559806666666674,0,0,0.031473533619456366,0.0014306151645207439,0.96709585121602293,0,0
spec06,403.gcc,1,0.69089299999999998,2.9447299999999998,0.25767099999999998,2.9447299999999998,0.25767099999999998,0.22991700000000001,4.6376299999999998e-05,0.027707699999999998,0,0,0.89228893650691232,0.00017998254508902345,0.10753108094799863,0,0
spec06,410.bwaves,2,1.6051649797450729,0.27871999999999997,0.29025649999999997,0.27871999999999997,0.29025649999999997,0.02989265,0,0.26036349999999997,0,0,0.10255498325951704,0,0.89744501674048294,0,0
spec06,429.mcf,5,0.27939738531744279,5.3090279999999996,0.23139099999999999,5.3090279999999996,0.23139099999999999,0.16627352000000001,1.3704040000000001e-08,0.065117495100000006,0,0,0.80048605714462406,7.0763395510770187e-07,0.19951323522142092,0,0
spec06,433.milc,3,1.5591769601293444,1.7861933333333333,0.98568666666666671,1.7861933333333333,0.98568666666666671,0.00078069766666666665,1.491526e-05,0.98489133333333323,0,0,0.00079287137873572595,1.5458755845710514e-05,0.99919166986541852,0,0
spec06,434.zeusmp,1,1.9381699999999999,0.036080000000000001,0.0027894399999999998,0.036080000000000001,0.0027894399999999998,0.00171788,0,0.0010715500000000001,0,0,0.61585365853658536,0,0.38414634146341464,0,0
spec06,435.gromacs,2,2.765012054747682,0.012370000000000001,0.0065966900000000005,0.012370000000000001,0.0065966900000000005,0.0010821065,0.00023178210000000002,0.0052827999999999998,0,0,0.15472027972027971,0.031708487590840537,0.81357123268887976,0,0
spec06,436.cactusADM,1,1.8897600000000001,9.1468699999999998,0.33014300000000002,9.1468699999999998,0.33014300000000002,0.32688600000000001,0,0.0032570799999999999,0,0,0.99013433010417773,0,0.0098656698958222867,0,0
spec06,437.leslie3d,6,2.6242001661080847,0.12417,0.53150228333333338,0.12417,0.53150228333333338,0.026971350000000002,0.00023771266666666667,0.50429299999999999,0,0,0.053292323549090699,0.00070286267394292941,0.94600481377696644,0,0
spec06,445.gobmk,1,1.27512,0.093149999999999997,0.22520699999999999,0.093149999999999997,0.22520699999999999,0.214424,0.00190997,0.0088728799999999997,0,0,0.95212023617820718,0.0084809447128287706,0.039398819108964034,0,0
spec06,450.soplex,2,0.61876925614965717,1.0050749999999999,0.14741199999999999,1.0050749999999999,0.14741199999999999,0.10321745,1.04973e-05,0.044183750000000001,0,0,0.69938496191863953,6.7418002854028792e-05,0.30054762007850644,0,0
spec06,454.calculix,1,4.1965599999999998,0.01176,0.019790599999999998,0.01176,0.019790599999999998,0.0053683799999999999,0.00057217900000000003,0.013850100000000001,0,0,0.27125850340136054,0.028911564625850341,0.69982993197278909,0,0
spec06,459.GemsFDTD,6,1.2215968779690689,1.0466966666666668,0.23891574999999998,1.0466966666666668,0.23891574999999998,0.031374779333333332,1.7944750000000001e-06,0.20753913333333332,0,0,0.27435418820255814,3.2460423245043909e-05,0.7256133513741968,0,0
spec06,462.libquantum,2,1.4459106051205239,0.39283000000000001,1,0.39283000000000001,1,0.077562850000000003,0,0.92243699999999995,0,0,0.077562909322953719,0,0.92243709067704627,0,0
spec06,470.lbm,1,0.73614299999999999,0.44423000000000001,0.99129699999999998,0.44423000000000001,0.99129699999999998,0.67891000000000001,0,0.31238700000000003,0,0,0.68487044999212121,0,0.31512955000787879,0,0
spec06,471.omnetpp,1,0.43608200000000003,5.2727899999999996,0.23316799999999999,5.2727899999999996,0.23316799999999999,0.16525000000000001,0.00027417000000000001,0.067643599999999998,0,0,0.7087177755988765,0.0011758480804280086,0.29010637632069547,0,0
spec06,473.astar,3,0.65357782906927331,8.7933066666666662,0.27679433333333331,8.7933066666666662,0.27679433333333331,0.18940170666666667,8.7350000000000009e-07,0.087391733333333332,0,0,0.48043616526337579,2.9470749544308536e-06,0.51956088766166975,0,0
spec06,481.wrf,5,3.0316907560420376,0.099377999999999994,0.61255320000000002,0.099377999999999994,0.61255320000000002,0.058531840000000002,0.00095319040000000005,0.55306860000000002,0,0,0.094244575740809133,0.0015209326744757327,0.90423449158471514,0,0
spec06,482.sphinx3,6,2.0685149686072015,0.45286833333333337,0.30336416666666666,0.45286833333333337,0.30336416666666666,0.16446733333333333,4.4829665e-05,0.13885216666666667,0,0,0.541634369867389,0.00012886162897956746,0.45823676850363149,0,0
spec06,483.xalancbmk,2,0.67986273536648556,2.1806800000000002,0.45225454999999998,2.1806800000000002,0.45225454999999998,0.44017499999999998,0.0069338050000000004,0.0051458149999999998,0,0,0.97082444885349073,0.015590845271847883,0.013584705874661351,0,0
spec17,600.perlbench_s,1,1.44743,0.13167999999999999,0.042745199999999997,0.13167999999999999,0.042745199999999997,0.039914600000000001,0.00187627,0.000954366,0,0,0.93377885783718106,0.043894289185905225,0.022326852976913732,0,0
spec17,602.gcc_s,3,1.3399818320188741,0.67635666666666661,0.65207733333333329,0.67635666666666661,0.65207733333333329,0.10031363333333333,2.0304266666666665e-05,0.55174343333333331,0,0,0.23827365807736275,0.00010717079810093345,0.76161917112453636,0,0
spec17,603.bwaves_s,4,2.0197408018729255,0.26259749999999998,0.45209725000000001,0.26259749999999998,0.45209725000000001,0.030019825,0,0.42207724999999996,0,0,0.1320466258067044,0,0.86795337419329566,0,0
spec17,605.mcf_s,9,0.40253421711903103,6.5063899999999997,0.3283759,6.5063899999999997,0.3283759,0.26054912444444445,0,0.067826811666666667,0,0,0.50128786722927243,0,0.49871213277072751,0,0
spec17,607.cactuBSSN_s,3,2.1583787042475038,0.068940000000000001,0.0012765433333333334,0.068940000000000001,0.0012765433333333334,0.0012741766666666667,2.2333733333333335e-06,1.3262233333333335e-07,0,0,0.9985435748408068,0.0013472368172877428,0.00010918834190542258,0,0
spec17,619.lbm_s,4,0.64629961870791042,0.58902750000000004,0.54207799999999995,0.58902750000000004,0.54207799999999995,0.33485524999999999,0,0.20722225,0,0,0.61770865315284684,0,0.38229134684715316,0,0
spec17,620.omnetpp_s,2,0.49024391767364139,4.6924399999999995,0.21436050000000001,4.6924399999999995,0.21436050000000001,0.20500850000000001,0.00090886450000000007,0.0084428249999999993,0,0,0.95613423909675743,0.0042577351030762883,0.039608025800166279,0,0
spec17,621.wrf_s,2,1.8450888368856391,0.127715,0.121268,0.127715,0.121268,0.017235750000000001,0.00071614849999999996,0.10331609999999999,0,0,0.14347894929511729,0.0058351318369663559,0.85068591886791634,0,0
spec17,623.xalancbmk_s,6,1.4153375191772009,1.33518,0.13086637666666667,1.33518,0.13086637666666667,0.12772892316666667,0.0014312915000000001,0.0017061955000000001,0,0,0.89570350277461752,0.020978054580622015,0.083318442644760474,0,0
spec17,625.x264_s,2,3.3883935787921691,0.025235,0.019864349999999999,0.025235,0.019864349999999999,0.0081655349999999998,0.00054324350000000006,0.01115559,0,0,0.42793605622584813,0.026142927673730283,0.54592101610042154,0,0
spec17,627.cam4_s,2,1.7520742427191835,0.057579999999999999,0.091099600000000003,0.057579999999999999,0.091099600000000003,0.022139295,0.00210904,0.066851350000000004,0,0,0.20780029332051256,0.015648816177217761,0.77655089050226966,0,0
spec17,628.pop2_s,1,2.5196000000000001,0.050000000000000003,0.128327,0.050000000000000003,0.128327,0.056874500000000001,0.00128327,0.070169099999999998,0,0,0.44319999999999998,0.01,0.54679999999999995,0,0
spec17,649.fotonik3d_s,4,1.6751011599269818,0.98601499999999997,0.48318024999999998,0.98601499999999997,0.48318024999999998,0.0047882204999999999,0,0.47839175,0,0,0.014183394725626776,0,0.9858166052743732,0,0
spec17,654.roms_s,8,1.523238682387084,0.28350625000000002,0.76454097374999996,0.28350625000000002,0.76454097374999996,0.24949014875,0.00024212205749999998,0.51480855937500003,0,0,0.38597533082204749,0.00043124692084381834,0.61359342225710867,0,0
spec17,657.xz_s,1,1.10442,0.99131000000000002,0.15896199999999999,0.99131000000000002,0.15896199999999999,0.15745100000000001,0,0.0015105400000000001,0,0,0.99049742260241502,0,0.0095025773975850134,0,0
spec06,gmean_spec06,54,1.3262633192980262,1.7448224074074075,0.3760098520222222,1.7448224074074075,0.3760098520222222,0.11033087165925926,0.00043847886018888893,0.26524051684629629,0,0,0.37690343002581661,0.0027893002700074658,0.62030726970417593,0,0
spec17,gmean_spec17,52,1.1737694733053763,1.7192696153846152,0.36441561307692305,1.7192696153846152,0.36441561307692305,0.14711522540384617,0.00042897060346153848,0.21687131513205771,0,0,0.49188454265574666,0.0056027891627795237,0.50251266818147389,0,0
all,gmean_all,106,1.2491273784288468,1.7322870754716981,0.37032211216226418,1.7322870754716981,0.37032211216226418,0.12837602632641509,0.0004338144323603774,0.24151222921289622,0,0,0.43330925886314081,0.0041695023683484753,0.56252123876851079,0,0
