trace_tag,dataset,workload,instructions,nopref_ipc,discard_ipc,permit_ipc,permit_vs_discard_ipc_pct,vberti_end_to_end_issued,vberti_end_to_end_useful,vberti_end_to_end_accuracy_pct,nopref_stlb_demand_miss,discard_stlb_demand_miss,permit_stlb_demand_miss,nopref_stlb_demand_mpki,discard_stlb_demand_mpki,permit_stlb_demand_mpki,demand_miss_reduction_count,demand_miss_reduction_pct,cross_requested,cross_in_pq,pq_drop_rate_pct,cross_pq_drop_rate_pct,dtlb_cross_lookups,dtlb_cross_misses,stlb_cross_lookups,stlb_cross_misses,stlb_cross_fills,stlb_cross_useful,stlb_cross_useless,stlb_cross_late,stlb_cross_too_early,stlb_cross_pollution_evict,cross_requested_mpki,stlb_cross_lookup_mpki,stlb_cross_translation_mpki,stlb_cross_useful_mpki,pq_survival_pct,reach_dtlb_pct_of_requested,reach_stlb_pct_of_requested,trigger_translation_pct_of_requested,useful_pct_of_requested,dtlb_miss_pct_of_lookup,stlb_miss_pct_of_lookup,fill_productivity_pct,stlb_accuracy_pct,stlb_coverage_pct_logged,stlb_too_early_among_useless_pct,stlb_late_among_useful_pct,stlb_pollution_candidate_among_cross_fill_pct,useful_vs_discard_miss_pct,net_reduction_per_useful_pct,too_early_among_useless_pct,pollution_per_fill_pct,late_per_fill_pct
bc.kron-2608B,gap,bc,100000004.0,0.4515,0.4802,0.48,-0.04164931278635153,,,,1814394.0,1814402.0,1806585.0,18.1439,18.144,18.0658,7817.0,0.43083065384628105,245527.0,244127.00013546,0.40787799999999996,0.570202,186639.0,28756.0,10534.0,9368.0,9368.0,34.0,9334.0,0.0,17.0,5665.0,2.455269901789204,0.10533999578640017,0.09367999625280014,0.00033999998640000053,99.429798,76.01567241077356,4.290363177980426,3.8154663234593342,0.013847764197012957,15.407283579530537,88.9310803113727,0.3629376601195559,0.322764,0.00188197,0.18212984786800943,0.0,60.471818958155424,0.001873895641649425,22991.176470588234,0.18212984786800943,60.471818958155424,0.0
bc.kron-5154B,gap,bc,100000002.0,0.9426,0.9585,0.962,0.3651538862806447,,,,286105.0,286106.0,283970.0,2.86105,2.86106,2.8397,2136.0,0.7465764436956932,138604.0,137275.0,0.111305,0.958847,129918.0,5706.0,2517.0,2360.0,2360.0,9.0,2351.0,0.0,0.0,768.0,1.3860399722792005,0.02516999949660001,0.02359999952800001,8.999999820000004e-05,99.04115321347147,93.733225592335,1.8159649072176847,1.7026925629851954,0.006493319096129982,4.3920011083914465,93.76241557409615,0.38135593220338987,0.35756899999999997,0.00316925,0.0,0.0,32.54237288135593,0.0031456872627627524,23733.333333333336,0.0,32.54237288135593,0.0
bc.road-131B,gap,bc,100000004.0,0.1622,0.1622,0.1624,0.12330456226878894,,,,847633.0,847638.0,843418.0,8.47633,8.47638,8.43418,4220.0,0.4978540367468188,6428808.0,1842328.0,57.4538,71.3426,1385776.0,13186.0,6497.0,4364.0,4364.0,1551.0,2813.0,0.0,296.0,4272.0,64.2880774284769,0.0649699974012001,0.04363999825440007,0.015509999379600025,28.657380963936085,21.555722304974733,0.10106072540974936,0.06788194638881734,0.02412577883800543,0.9515246331297409,67.169462828998,35.540788267644366,23.8726,0.183557,10.52257376466406,0.0,97.89184234647112,0.18297905473798956,272.0825274016764,10.52257376466406,97.89184234647112,0.0
bc.road-174B,gap,bc,100000003.0,0.2328,0.2324,0.2319,-0.21514629948364838,,,,877576.0,877656.0,874815.0,8.77576,8.77656,8.74815,2841.0,0.32370313653641064,6498369.0,1917162.0,56.9065,70.4978,1412512.0,13735.0,6847.0,3153.0,3153.0,1286.0,1867.0,0.0,190.0,3104.0,64.98368805048936,0.06846999794590006,0.031529999054100026,0.01285999961420001,29.502202783498443,21.736408012533605,0.1053649000233751,0.04851986706202741,0.01978958104718276,0.9723811195940282,46.04936468526362,40.786552489692355,18.7819,0.146787,10.176754151044456,0.0,98.44592451633365,0.14652665736917425,220.91757387247276,10.176754151044456,98.44592451633365,0.0
bc.road-79B,gap,bc,100000000.0,0.2814,0.2811,0.2807,-0.14229811454998798,,,,737435.0,737500.0,735540.0,7.37435,7.375,7.3554,1960.0,0.26576271186440675,6291570.0,1824005.0,56.867999999999995,71.0087,1367655.0,12055.0,5963.0,2494.0,2494.0,1154.0,1340.0,0.0,177.0,2390.0,62.9157,0.05963,0.02494,0.01154,28.991253375548553,21.737896900137805,0.09477761512627214,0.03964034414303584,0.018342003665221877,0.8814357422010668,41.82458494046621,46.271050521251,19.3527,0.156646,13.208955223880597,0.0,95.8299919807538,0.15647457627118644,169.84402079722705,13.208955223880597,95.8299919807538,0.0
bc.road-95B,gap,bc,100000000.0,0.2148,0.2141,0.2139,-0.09341429238673982,,,,792473.0,792505.0,789225.0,7.92473,7.92505,7.89225,3280.0,0.4138775149683598,6483576.0,1940878.0,57.121599999999994,70.0647,1435915.0,12468.0,6474.0,3558.0,3558.0,1369.0,2189.0,0.0,316.0,3506.0,64.83576,0.06474,0.03558,0.01369,29.93530113628652,22.146960257734314,0.09985230372868306,0.05487712336525399,0.021114890918221673,0.8682965217300467,54.95829471733086,38.47667228780214,21.1461,0.173161,14.435815440840566,0.0,98.53850477796516,0.17274338963161115,239.59094229364499,14.435815440840566,98.53850477796516,0.0
bc.twitter-1658B,gap,bc,100000002.0,0.396,0.4043,0.4061,0.4452139500371155,,,,987694.0,987701.0,982706.0,9.87694,9.87701,9.82706,4995.0,0.5057198484156642,617926.0,431321.0,15.6167,30.1986,332196.0,16548.0,5354.0,5270.0,5270.0,88.0,5182.0,0.0,947.0,2654.0,6.179259876414802,0.05353999892920002,0.05269999894600002,0.0008799999824000003,69.80140016765762,53.75983532008687,0.8664467913633671,0.8528529306098142,0.01424118745610316,4.981396524943106,98.43107956667912,1.669829222011385,1.6436300000000001,0.00895406,18.27479737553068,0.0,50.36053130929792,0.008909578911026717,5676.136363636363,18.27479737553068,50.36053130929792,0.0
bc.twitter-2320B,gap,bc,100000005.0,0.5601,0.5912,0.5907,-0.08457374830851405,,,,1905456.0,1905458.0,1898176.0,19.0546,19.0546,18.9818,7282.0,0.38216533767734584,190591.0,182074.0,1.111,4.46873,151299.0,25518.0,10936.0,9892.0,9892.0,268.0,9624.0,0.0,2200.0,6902.0,1.9059099047045047,0.10935999453200028,0.09891999505400025,0.0026799998660000067,95.53126852789481,79.38412621792214,5.737941455787524,5.190171624053601,0.1406152441615816,16.86594095136121,90.45354791514265,2.7092600080873432,2.45062,0.0141168,22.8595178719867,0.0,69.77355438738374,0.014064859996914128,2717.1641791044776,22.8595178719867,69.77355438738374,0.0
bc.twitter-309B,gap,bc,100000000.0,0.2013,0.2008,0.2013,0.2490039840637559,,,,4271713.0,4271722.0,4231387.0,42.7171,42.7172,42.3139,40335.0,0.9442327941752765,2290002.0,1055032.0,46.3725,53.928799999999995,851451.0,103684.0,44471.0,40914.0,40914.0,1160.0,39754.0,0.0,1434.0,4564.0,22.90002,0.44471,0.40914,0.0116,46.07122613866713,37.18123390285248,1.9419633694643061,1.786635994204372,0.05065497759390603,12.177330228046007,92.0015290863709,2.8352153297159894,2.60844,0.027406700000000003,3.607184182723751,0.0,11.155105831744635,0.027155325182678085,3477.155172413793,3.607184182723751,11.155105831744635,0.0
bc.twitter-876B,gap,bc,100000000.0,0.1777,0.1789,0.1787,-0.11179429849077493,,,,6642007.0,6642049.0,6637270.0,66.4201,66.4205,66.3727,4779.0,0.07195068871066744,1773908.0,528191.0,48.0498,70.2244,445496.0,138509.0,113214.0,108734.0,108734.0,2435.0,106299.0,0.0,70908.0,74431.0,17.73908,1.13214,1.08734,0.02435,29.775557695213056,25.11381650006652,6.382179910119352,6.129630172477942,0.13726754713322226,31.090963779697233,96.04289222181002,2.2394099361745177,2.15079,0.0366733,66.70617785680015,0.0,68.45237000386264,0.036660373929791844,196.26283367556468,66.70617785680015,68.45237000386264,0.0
bc.urand-3004B,gap,bc,100000002.0,0.3282,0.3283,0.3284,0.03045994517212325,,,,1081551.0,1081555.0,1081301.0,10.8155,10.8155,10.813,254.0,0.023484704892492752,200883.0,190128.0,3.72079,5.35386,169873.0,283.0,267.0,260.0,260.0,5.0,255.0,0.0,16.0,116.0,2.0088299598234007,0.0026699999466000012,0.002599999948000001,4.999999900000002e-05,94.6461373038037,84.56315367651818,0.1329131882737713,0.12942857285086343,0.0024890110163627585,0.16659504453326898,97.37827715355806,1.9230769230769231,1.87266,0.000462404,6.2745098039215685,0.0,44.61538461538462,0.0004622973404034007,5080.0,6.2745098039215685,44.61538461538462,0.0
bfs.kron-128B,gap,bfs,100000002.0,0.4578,0.5006,0.5314,6.152616859768267,,,,109597.0,109597.0,84513.0,1.09597,1.09597,0.84513,25084.0,22.8874877961988,22283445.0,2949079.0,71.4659,86.76559999999999,1950614.0,101339.0,25091.0,25084.0,25084.0,24.0,25060.0,0.0,0.0,5261.0,222.8344455433111,0.2509099949818001,0.2508399949832001,0.0002399999952000001,13.234394412533609,8.753646485092409,0.11259928615166999,0.11256787269652425,0.00010770327478538441,5.195235961599783,99.97210155035671,0.09567852017222134,0.0956518,0.0283899,0.0,0.0,20.973528942752353,0.021898409628000767,104516.66666666667,0.0,20.973528942752353,0.0
bfs.kron-542B,gap,bfs,100000001.0,0.1863,0.2,0.2029,1.4499999999999957,,,,1757494.0,1757440.0,1727202.0,17.5749,17.5744,17.272,30238.0,1.720570830298616,36777932.0,3292546.0,80.3228,91.0475,2349325.0,99431.0,42291.0,36470.0,36470.0,5153.0,31317.0,0.0,1988.0,31499.0,367.77931632220685,0.42290999577090005,0.36469999635300004,0.0515299994847,8.952504452942051,6.387865962664785,0.11499015224673319,0.09916272616959539,0.014011119494157528,4.232322049950517,86.23584214135396,14.129421442281325,12.1846,0.297456,6.347989909633746,0.0,86.3696188648204,0.29321057902403497,586.8038036095478,6.347989909633746,86.3696188648204,0.0
bfs.road-112B,gap,bfs,100000000.0,0.1907,0.1907,0.1906,-0.052438384897757206,,,,789187.0,789199.0,785637.0,7.89187,7.89199,7.85637,3562.0,0.4513437041861431,8848802.0,2383798.0,57.505300000000005,73.0608,1765256.0,15925.0,8835.0,4957.0,4957.0,831.0,4126.0,0.0,618.0,4826.0,88.48802,0.08835,0.04957,0.00831,26.939217308738517,19.94909593411628,0.09984402408371212,0.05601888255607934,0.00939110175592131,0.9021354409785323,56.106395019807586,16.76417187815211,9.405769999999999,0.105662,14.978187106156081,0.0,97.35727254387734,0.1052966362096252,428.6401925391095,14.978187106156081,97.35727254387734,0.0
bfs.road-128B,gap,bfs,100000000.0,0.1683,0.1681,0.1681,0.0,,,,973410.0,973467.0,969576.0,9.7341,9.73467,9.69576,3891.0,0.39970538292515306,9226077.0,2616813.0,57.74979999999999,71.6368,1926787.0,14978.0,7833.0,4619.0,4619.0,607.0,4012.0,0.0,279.0,4530.0,92.26077,0.07833,0.04619,0.00607,28.363225236468324,20.884141764695872,0.08490065712653384,0.050064615762474125,0.006579177693834553,0.7773562931450129,58.968466743265665,13.141372591470017,7.74927,0.0625655,6.954137587238285,0.0,98.07317601212384,0.06235445063879926,641.0214168039539,6.954137587238285,98.07317601212384,0.0
bfs.road-140B,gap,bfs,100000000.0,0.1738,0.1737,0.1736,-0.057570523891758985,,,,858808.0,858863.0,854851.0,8.58808,8.58863,8.54851,4012.0,0.4671292161846534,8979969.0,2564723.0,57.538900000000005,71.4395,1878966.0,15542.0,8299.0,4893.0,4893.0,872.0,4021.0,0.0,487.0,4777.0,89.79969,0.08299,0.04893,0.00872,28.56048834912459,20.92396978207831,0.09241680010253933,0.05448793865546751,0.009710501227788203,0.827157064044799,58.95891071213399,17.821377478029838,10.5073,0.101902,12.111415070877891,0.0,97.62926629879419,0.10152958038709317,460.091743119266,12.111415070877891,97.62926629879419,0.0
bfs.road-19B,gap,bfs,100000000.0,0.2354,0.2357,0.2356,-0.042426813746287984,,,,227940.0,227976.0,226403.0,2.2794,2.27976,2.26403,1573.0,0.6899849106923536,8588079.0,2089211.0,57.7611,75.6731,1516913.0,15982.0,8156.0,2593.0,2593.0,317.0,2276.0,0.0,113.0,1892.0,85.88079,0.08156,0.02593,0.00317,24.326872167803767,17.66300705897093,0.09496885159067586,0.030193015224941458,0.0036911630645223453,1.0535871206852339,31.792545365375187,12.225221750867721,3.8867100000000003,0.13982,4.964850615114235,0.0,72.96567682221365,0.13904972453240694,496.2145110410095,4.964850615114235,72.96567682221365,0.0
bfs.twitter-10B,gap,bfs,100000004.0,0.3005,0.3472,0.3654,5.241935483870974,,,,277427.0,277427.0,249660.0,2.77427,2.77427,2.4966,27767.0,10.008759060942158,19788404.0,2187919.0,77.33449999999999,88.9434,1551701.0,93805.0,27907.0,27790.0,27790.0,132.0,27658.0,0.0,9.0,9199.0,197.8840320846387,0.27906998883720047,0.27789998888400047,0.0013199999472000021,11.056571313179173,7.8414661435050546,0.14102703785509937,0.14043578249160468,0.000667057333173509,6.045301253269799,99.58075034937471,0.47499100395825833,0.473,0.052844,0.03254031383324897,0.0,33.101835192515296,0.04758008413023967,21035.60606060606,0.03254031383324897,33.101835192515296,0.0
bfs.twitter-160B,gap,bfs,100000000.0,0.1858,0.1967,0.201,2.186070157600395,,,,271298.0,271269.0,238416.0,2.71298,2.71269,2.38416,32853.0,12.110856751047853,5592692.0,2732296.0,39.2021,51.1452,2082449.0,103885.0,56794.0,38633.0,38634.0,3671.0,34962.0,0.0,63.0,22859.0,55.92692,0.56794,0.38633,0.03671,48.854755455869906,37.2351811971766,1.0155038038926514,0.6907764632845864,0.06563923062453644,4.988597559892223,68.02303060182415,9.501993063105036,6.463710000000001,1.5164,0.1801956409816372,0.0,59.16809028317026,1.353269264088414,894.9332606919096,0.1801956409816372,59.16809028317026,0.0
bfs.twitter-163B,gap,bfs,100000003.0,0.2761,0.3102,0.3231,4.158607350096721,,,,309866.0,309866.0,282656.0,3.09866,3.09866,2.82656,27210.0,8.78121510588448,19529206.0,2459923.0,75.1459,87.40390000000001,1724609.0,83231.0,27291.0,27237.0,27237.0,89.0,27148.0,0.0,15.0,10026.0,195.29205414123837,0.27290999181270026,0.27236999182890026,0.0008899999733000007,12.596123979643616,8.830922260741168,0.13974454465788316,0.13946803572044864,0.0004557276931791287,4.826079418581256,99.80213257117731,0.3267613907552227,0.326115,0.0314771,0.05525268896419625,0.0,36.81022139002093,0.02872209277558687,30573.033707865172,0.05525268896419625,36.81022139002093,0.0
bfs.twitter-242B,gap,bfs,100000001.0,0.2159,0.2273,0.2324,2.243730752309725,,,,228179.0,228179.0,203322.0,2.28179,2.28179,2.03322,24857.0,10.893640519066173,15655693.0,3224954.0,65.196,79.4008,2220658.0,52581.0,24956.0,24913.0,24913.0,89.0,24824.0,0.0,10.0,8065.0,156.55692843443072,0.24955999750440003,0.24912999750870002,0.0008899999911000001,20.59924143888105,14.18434814734806,0.1594052719352634,0.1591306114651073,0.0005684832986952414,2.3678117026575003,99.82769674627345,0.3572432063581263,0.356628,0.0437538,0.04028359651949726,0.0,32.372656845823464,0.039004465792206996,27929.213483146064,0.04028359651949726,32.372656845823464,0.0
bfs.twitter-408B,gap,bfs,100000002.0,0.3002,0.3163,0.3252,2.8137843819158848,,,,174957.0,174957.0,149071.0,1.74957,1.74957,1.49071,25886.0,14.795635499008327,22417721.0,2895579.0,75.1016,87.0835,2024045.0,117237.0,26870.0,26261.0,26261.0,178.0,26083.0,0.0,44.0,10081.0,224.1772055164559,0.2686999946260001,0.2626099947478001,0.0017799999644000006,12.9164735344864,9.028772371642951,0.11986053354843695,0.11714393269503176,0.0007940146993532483,5.792213117791353,97.73353181987346,0.6778112029244888,0.6624490000000001,0.11926400000000001,0.16869225165816815,0.0,38.38772323978523,0.10173928450990814,14542.696629213484,0.16869225165816815,38.38772323978523,0.0
bfs.twitter-44B,gap,bfs,100000005.0,0.2681,0.3309,0.3417,3.263825929283759,,,,287352.0,287285.0,261069.0,2.87352,2.87285,2.61069,26216.0,9.125432932453835,7680284.0,2238131.0,57.629,70.8587,1750027.0,163116.0,90670.0,33252.0,33251.0,8073.0,25179.0,0.0,1214.0,30586.0,76.80283615985819,0.9066999546650023,0.33251998337400085,0.0807299959635002,29.14125310991104,22.785967289751262,1.1805553023820474,0.43295273976847726,0.10511330049774201,9.320770479541173,36.67365170398147,24.2789690535623,8.90372,2.99953,4.821478215973629,0.0,91.98520345252774,2.8101014671841553,324.73677691068997,4.821478215973629,91.98520345252774,0.0
bfs.urand-118B,gap,bfs,100000000.0,0.1327,0.1386,0.1386,0.0,,,,4299021.0,4299139.0,4285969.0,42.9902,42.9914,42.8597,13170.0,0.30634040909121574,14483391.0,2531727.0,61.3831,82.5198,1852451.0,54163.0,21880.0,15748.0,15748.0,985.0,14763.0,0.0,285.0,13649.0,144.83391,0.2188,0.15748,0.00985,17.480208882022172,12.790174621399093,0.15106959413026963,0.10873144279540613,0.006800893520032705,2.923856015624705,71.9744058500914,6.254762509525019,4.50183,0.0229767,1.9305019305019304,0.0,86.67132334264669,0.0229115643853339,1337.0558375634519,1.9305019305019304,86.67132334264669,0.0
bfs.urand-161B,gap,bfs,100000002.0,0.1468,0.1876,0.1965,4.744136460554382,,,,1206621.0,1206299.0,1140679.0,12.0662,12.063,11.4068,65620.0,5.439779026592909,10915340.0,2674786.0,55.2485,75.4952,2048548.0,147412.0,73873.0,66795.0,66795.0,6517.0,60278.0,0.0,448.0,65056.0,109.15339781693204,0.7387299852254003,0.6679499866410002,0.06516999869660002,24.504834480648334,18.767605956387985,0.6767814836734357,0.6119369621102045,0.05970496567216413,7.195926090089174,90.4186915381804,9.756718317239315,8.821900000000001,0.568081,0.7432230664587411,0.0,97.39651171494872,0.540247484247272,1006.9050176461562,0.7432230664587411,97.39651171494872,0.0
bfs.urand-356B,gap,bfs,100000003.0,0.1458,0.1517,0.1518,0.06591957811470373,,,,4184784.0,4184869.0,4171723.0,41.8478,41.8487,41.7172,13146.0,0.3141316968344768,14849654.0,2419974.0,62.5581,83.70349999999999,1764431.0,55899.0,21584.0,15657.0,15657.0,1062.0,14595.0,0.0,274.0,13570.0,148.49653554510394,0.21583999352480018,0.15656999530290014,0.010619999681400009,16.296500915105497,11.881967081522573,0.1453501879572413,0.10543680007628461,0.007151681783292728,3.168103484919501,72.53984432913269,6.782908603180686,4.92031,0.0254506,1.8773552586502227,0.0,86.67049881841987,0.02537713844806134,1237.8531073446327,1.8773552586502227,86.67049881841987,0.0
bfs.urand-36B,gap,bfs,100000001.0,0.2289,0.286,0.2994,4.685314685314701,,,,667586.0,667365.0,623793.0,6.67586,6.67365,6.23793,43572.0,6.528960913443169,39171143.0,2648804.0,83.40039999999999,93.2379,1948322.0,126882.0,48495.0,44199.0,44199.0,3292.0,40907.0,0.0,202.0,37322.0,391.71142608288574,0.4849499951505,0.44198999558010005,0.032919999670800004,6.762130990152623,4.973870688430001,0.1238028719253865,0.11283561472791336,0.008404145878510617,6.512373211409613,91.14135477884318,7.448132310685763,6.788329999999999,0.524969,0.49380301659862613,0.0,84.44082445304193,0.4932832857581683,1323.572296476306,0.49380301659862613,84.44082445304193,0.0
bfs.urand-410B,gap,bfs,100000001.0,0.1323,0.169,0.1818,7.573964497041397,,,,452965.0,452912.0,359019.0,4.52965,4.52912,3.59019,93893.0,20.730958773448265,8640411.0,4171104.0,31.2159,51.72560000000001,3142929.0,201633.0,96889.0,94185.0,94185.0,3966.0,90219.0,0.0,76.0,66806.0,86.4041091359589,0.9688899903111001,0.9418499905815001,0.039659999603400005,48.27437028169146,36.374762728300766,1.1213471211033827,1.090052313483699,0.04590059431200669,6.415448774057575,97.2091775124111,4.21086160216595,4.09334,1.0926099999999999,0.08423946175417595,0.0,70.93061527844137,0.87566679619882,2367.4483106404437,0.08423946175417595,70.93061527844137,0.0
bfs.urand-60B,gap,bfs,100000000.0,0.137,0.1767,0.1876,6.168647425014151,,,,641915.0,641818.0,559534.0,6.41915,6.41818,5.59534,82284.0,12.820456889647843,11546145.0,4436709.0,46.076899999999995,61.5741,3345914.0,179076.0,86718.0,82970.0,82970.0,4819.0,78151.0,0.0,141.0,73997.0,115.46145,0.86718,0.8297,0.04819,38.425890199716015,28.978624467300556,0.7510558718949052,0.7185948210420015,0.04173687408221532,5.352080178988461,95.67794460204341,5.808123418102928,5.55709,0.8538979999999999,0.1804199562385638,0.0,89.1852476798843,0.7508359067523815,1707.4911807428925,0.1804199562385638,89.1852476798843,0.0
cc.kron-10B,gap,cc,100000002.0,0.1794,0.1937,0.1954,0.8776458440887813,,,,1175300.0,1175325.0,1143124.0,11.753,11.7532,11.4312,32201.0,2.7397528343224216,6769514.0,1814705.0,55.1048,73.193,1239496.0,48201.0,34765.0,34299.0,34299.0,1001.0,33298.0,0.0,323.0,16585.0,67.69513864609722,0.3476499930470001,0.3429899931402001,0.010009999799800004,26.807020415350348,18.30997025783535,0.5135523761380802,0.5066685732535601,0.014786881303443643,3.8887580113207303,98.65957140802531,2.91845243301554,2.87933,0.0874904,0.9700282299237192,0.0,48.35417942214059,0.08516793227405187,3216.883116883117,0.9700282299237192,48.35417942214059,0.0
cc.kron-17B,gap,cc,100000004.0,0.1385,0.1478,0.1494,1.0825439783491264,,,,1819109.0,1819110.0,1780102.0,18.1911,18.1911,17.801,39008.0,2.1443453117183675,9697329.0,2271000.0,59.7437,76.58120000000001,1710773.0,61152.0,41908.0,41507.0,41507.0,313.0,41194.0,0.0,1189.0,24105.0,96.97328612106855,0.4190799832368007,0.41506998339720064,0.003129999874800005,23.418819759544096,17.641692882648407,0.4321602371127142,0.4280250778332879,0.0032276929038913705,3.574524498574621,99.04314212083611,0.7540896716216542,0.7468739999999999,0.0175802,2.8863426712628053,0.0,58.07454164357819,0.017206216226616312,12462.61980830671,2.8863426712628053,58.07454164357819,0.0
cc.kron-78B,gap,cc,100000001.0,0.139,0.1485,0.1501,1.0774410774410992,,,,1820111.0,1820112.0,1781340.0,18.2011,18.2011,17.8134,38772.0,2.130198581186213,9692799.0,2264027.0,59.821400000000004,76.6422,1705635.0,60629.0,41626.0,41327.0,41327.0,285.0,41042.0,0.0,1141.0,24049.0,96.92798903072011,0.41625999583740003,0.41326999586730007,0.0028499999715000004,23.35782471090136,17.59692943183904,0.429452834005946,0.42636806973919505,0.002940327143893111,3.5546292143395277,99.28169893816364,0.6896217968882329,0.6846679999999999,0.0159966,2.780078943521271,0.0,58.19198102935127,0.015658377066905774,13604.21052631579,2.780078943521271,58.19198102935127,0.0
cc.kron-82B,gap,cc,100000000.0,0.139,0.1399,0.1404,0.3573981415296634,,,,1743343.0,1743343.0,1735760.0,17.4334,17.4334,17.3576,7583.0,0.43496890743818056,12748129.0,2049093.0,66.1326,83.9263,1417322.0,12982.0,7589.0,7589.0,7589.0,9.0,7580.0,0.0,1833.0,6794.0,127.48129,0.07589,0.07589,9e-05,16.0736763802751,11.117882475145962,0.059530304407807606,0.059530304407807606,7.059859529190518e-05,0.9159527616166263,100.0,0.1185926999604691,0.118593,0.000518502,24.182058047493406,0.0,89.52431150349189,0.0005162495274882797,84255.55555555555,24.182058047493406,89.52431150349189,0.0
